City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
5866583,Saint Paul Harbor,US,57.79,-152.41,35.6,74,20,10.29
3372707,Ribeira Grande,PT,38.52,-28.7,61.63,71,99,10.29
3137469,Sørland,NO,67.67,12.69,37.81,77,94,8.7
3424607,Tasiilaq,GL,65.61,-37.64,24.8,68,98,3.36
2110227,Butaritari,KI,3.07,172.79,81.81,81,50,17.83
6170031,Tuktoyaktuk,CA,69.45,-133.04,-14.8,83,20,11.41
1789065,Ankang,CN,32.68,109.02,34.25,80,37,0.87
5735238,Klamath Falls,US,42.22,-121.78,35.2,98,75,3.36
3831208,Qaanaaq,GL,77.48,-69.36,-0.26,67,0,7.67
1492255,Sherbakul',RU,54.63,72.4,1.4,77,77,2.24
2022572,Khatanga,RU,71.97,102.5,-35.73,84,50,1.28
5880054,Barrow,US,71.29,-156.79,-5.8,76,1,23.04
2112309,Katsuura,JP,35.13,140.3,43.65,28,20,6.93
5793271,East Wenatchee,US,47.42,-120.29,34.21,80,90,3.38
5367788,Lompoc,US,34.64,-120.46,57.61,54,1,14.99
2521582,Arona,ES,28.1,-16.68,64.13,68,75,8.05
5106841,Albany,US,42.6,-73.97,25.81,38,27,1.99
3374210,São Filipe,CV,14.9,-24.5,73.58,75,16,9.42
1507390,Dikson,RU,73.51,80.55,-21.35,85,0,2.17
5122534,Jamestown,US,42.1,-79.24,23.94,67,90,6.44
489043,Staraya Toropa,RU,56.28,31.67,28.6,98,95,6.51
5983720,Iqaluit,CA,63.75,-68.51,19.2,79,90,11.41
2126710,Beringovskiy,RU,63.05,179.32,13.39,95,99,9.8
3420846,Qaqortoq,GL,60.72,-46.03,37.4,37,0,25.28
5847411,Kahului,US,20.89,-156.47,77.11,61,40,20.8
2325200,Oyo,NG,7.85,3.93,75.92,82,60,4.27
217562,Butembo,CD,0.15,29.28,56.68,76,86,2.86
6089245,Norman Wells,CA,65.28,-126.83,-20.2,82,75,16.11
4675577,Bonham,US,33.58,-96.18,35.83,93,90,5.82
3418910,Upernavik,GL,72.79,-56.15,13.01,78,0,6.64
5882953,Aklavik,CA,68.22,-135.01,-9.4,83,90,11.41
2126199,Cherskiy,RU,68.75,161.3,-16.01,89,94,5.5
5546220,Saint George,US,37.1,-113.58,48.2,29,1,4.7
286621,Salalah,OM,17.02,54.09,69.8,52,0,6.93
2510725,Tacoronte,ES,28.48,-16.41,59.74,93,75,11.41
5855927,Hilo,US,19.73,-155.09,74.89,65,90,8.05
778707,Mehamn,NO,71.04,27.85,34.29,88,96,11.01
2126123,Chokurdakh,RU,70.63,147.92,-25.42,87,95,3.62
2015306,Tiksi,RU,71.69,128.87,-25.22,85,19,4.79
2656405,Banchory,GB,57.05,-2.49,40.35,86,66,5.82
504269,Pudozh,RU,61.81,36.53,27.37,99,99,5.84
780687,Berlevåg,NO,70.86,29.09,33.57,91,99,7.38
3421319,Nuuk,GL,64.18,-51.72,28.2,79,91,6.93
4301317,Morehead,US,37.27,-87.18,39.58,55,90,4.7
70979,Sayyan,YE,15.17,44.32,42.21,59,15,1.34
1706466,Ligayan,PH,4.65,119.47,82.83,76,67,9.8
2120047,Ust'-Omchug,RU,61.15,149.63,-20.42,82,88,9.46
